id,range_names,Clipper Invocations,Post-Clip Primitives,CS Invocations,DS Invocations,GPU Elapsed Time,GS Invocations,Post-GS Primitives,HS Invocations,Primitive Count,Vertex Count,VS Invocations,Pixels Rendered,PS Invocations
561,DrawIndexed,4973,408,0,0,15,0,0,0,4973,14919,4302,7276,0
562,DrawIndexed,4918,2929,0,0,24,0,0,0,4918,14754,4224,117251,0
563,DrawIndexed,2061,0,0,0,13,0,0,0,2061,6183,2161,0,0
564,DrawIndexed,4976,0,0,0,14,0,0,0,4976,14928,4332,0,0
565,DrawIndexed,686,626,0,0,21,0,0,0,686,2058,697,85589,0
566,DrawIndexedInstanced,896,896,0,0,24,0,0,0,896,2688,1074,3218,32003
567,DrawIndexed,1920,232,0,0,18,0,0,0,1920,5760,1500,27206,0
568,DrawIndexedInstanced,2880,2852,0,0,24,0,0,0,2880,8640,4544,8052,14145
569,DrawIndexedInstanced,200,200,0,0,22,0,0,0,200,600,168,2616,4708
570,DrawIndexed,113,22,0,0,16,0,0,0,113,339,137,925,0
571,DrawIndexed,113,83,0,0,14,0,0,0,113,339,137,3099,0
572,DrawIndexed,113,95,0,0,14,0,0,0,113,339,137,3238,0
573,DrawIndexed,104,70,0,0,15,0,0,0,104,312,148,867,0
574,DrawIndexed,104,104,0,0,16,0,0,0,104,312,145,1026,0
575,DrawIndexed,796,796,0,0,17,0,0,0,796,2388,689,2631,0
576,DrawIndexed,796,796,0,0,15,0,0,0,796,2388,689,2536,0
577,DrawIndexed,796,796,0,0,17,0,0,0,796,2388,689,3585,0
578,DrawIndexed,796,796,0,0,15,0,0,0,796,2388,689,2800,0
579,DrawIndexed,796,711,0,0,15,0,0,0,796,2388,689,1860,0
580,DrawIndexed,1912,1099,0,0,15,0,0,0,1912,5736,1846,46,0
581,DrawIndexed,3962,3193,0,0,16,0,0,0,3962,11886,3537,75,0
582,DrawIndexed,7885,7885,0,0,23,0,0,0,7885,23655,6674,31056,0
583,DrawIndexed,3629,2164,0,0,16,0,0,0,3629,10887,3979,773,0
584,DrawIndexed,3998,2064,0,0,16,0,0,0,3998,11994,3474,8349,0
585,DrawIndexed,12704,11747,0,0,38,0,0,0,12704,38112,11785,141732,0
586,DrawIndexed,2998,2124,0,0,20,0,0,0,2998,8994,2505,4412,0
587,DrawIndexed,1062,0,0,0,17,0,0,0,1062,3186,1288,0,0
588,DrawIndexed,2852,2852,0,0,19,0,0,0,2852,8556,2476,226,0
589,DrawIndexed,686,0,0,0,15,0,0,0,686,2058,697,0,0
590,DrawIndexed,488,422,0,0,17,0,0,0,488,1464,457,1374,0
591,DrawIndexed,488,437,0,0,17,0,0,0,488,1464,457,10148,0
592,DrawIndexed,488,328,0,0,17,0,0,0,488,1464,457,8345,0
593,DrawIndexed,488,361,0,0,17,0,0,0,488,1464,457,1754,0
594,DrawIndexed,72,63,0,0,16,0,0,0,72,216,83,4821,0
595,DrawIndexed,2081,368,0,0,16,0,0,0,2081,6243,1798,0,0
596,DrawIndexed,2081,0,0,0,16,0,0,0,2081,6243,1798,0,0
597,DrawIndexed,2081,2081,0,0,17,0,0,0,2081,6243,1798,5032,0
598,DrawIndexed,2081,2081,0,0,17,0,0,0,2081,6243,1798,587,0
599,DrawIndexed,2081,2004,0,0,15,0,0,0,2081,6243,1798,0,0
600,DrawIndexed,98304,2650,0,0,96,0,0,0,98304,294912,89522,307794,0
601,DrawIndexed,50,50,0,0,21,0,0,0,50,150,38,0,0
602,DrawIndexedInstanced,152,152,0,0,17,0,0,0,152,456,122,0,0
603,DrawIndexed,9929,8776,0,0,29,0,0,0,9929,29787,8313,431,0
604,DrawIndexed,8890,4672,0,0,22,0,0,0,8890,26670,7410,28917,0
605,DrawIndexed,17253,89,0,0,21,0,0,0,17253,51759,14966,47,0
606,ClearRenderTargetView,0,0,0,0,30,0,0,0,0,0,0,0,0
607,DrawIndexed,2,2,0,0,568,0,0,0,2,6,4,2.0736e+06,2.0736e+06
608,DrawIndexed,2,2,0,0,997,0,0,0,2,6,4,1.63976e+06,1.63976e+06
609,DrawIndexed,612,612,0,0,23,0,0,0,612,1836,580,0,0
610,DrawIndexed,2229,2229,0,0,28,0,0,0,2229,6687,1908,2072,2072
611,DrawIndexed,11600,11600,0,0,36,0,0,0,11600,34800,10089,1021,1021
612,DrawIndexed,612,612,0,0,22,0,0,0,612,1836,580,0,0
613,DrawIndexed,2229,2229,0,0,24,0,0,0,2229,6687,1908,2072,2072
614,DrawIndexed,11600,11600,0,0,29,0,0,0,11600,34800,10089,1021,1021
615,Dispatch,0,0,522240,0,362,0,0,0,0,0,0,0,0
616,Dispatch,0,0,32640,0,31,0,0,0,0,0,0,0,0
617,Dispatch,0,0,522240,0,196,0,0,0,0,0,0,0,0
618,Dispatch,0,0,138240,0,62,0,0,0,0,0,0,0,0
619,Dispatch,0,0,40960,0,27,0,0,0,0,0,0,0,0
620,Dispatch,0,0,12288,0,16,0,0,0,0,0,0,0,0
