id,range_names,GPU Elapsed Time
604,DrawIndexed,26.72
605,DrawIndexed,30.52
606,ClearRenderTargetView,7.76
607,DrawIndexed,1849.84
608,DrawIndexed,1477.24
609,DrawIndexed,7
610,DrawIndexed,26.24
611,DrawIndexed,34
612,DrawIndexed,6.84
613,DrawIndexed,23.08
614,DrawIndexed,33.72
615,Dispatch,649.52
616,Dispatch,35.4
617,Dispatch,462.12
618,Dispatch,125.64
619,Dispatch,40.04
620,Dispatch,14.88
621,Dispatch,19.8
622,Dispatch,52.84
623,Dispatch,176.92
624,Dispatch,669.48
625,DrawIndexed,832.8
626,DrawIndexed,867.44
627,DrawIndexed,1010.56
628,DrawIndexed,6.44
629,DrawIndexed,21.2
630,DrawIndexed,19.32
631,CopySubresourceRegion,1134.68
632,DrawIndexed,400.36
633,DrawIndexed,6.24
634,DrawIndexed,4.12
635,DrawIndexed,6.6
636,DrawIndexed,6.32
637,DrawIndexed,6.56
638,DrawIndexed,6.24
639,DrawIndexed,174.04
640,DrawIndexed,187.92
641,DrawIndexed,90.8
642,DrawIndexed,863.24
643,DrawIndexed,532.08
644,DrawIndexed,129.84
645,DrawIndexed,39.56
646,DrawIndexed,16.4
647,DrawIndexed,8.96
648,DrawIndexed,7.4
649,DrawIndexed,6.84
650,DrawIndexed,6.4
651,DrawIndexed,6.56
652,DrawIndexed,7.08
653,DrawIndexed,6.68
654,DrawIndexed,6.96
655,DrawIndexed,7.56
656,DrawIndexed,10.68
657,DrawIndexed,22.6
658,DrawIndexed,77.2
659,DrawIndexed,270.2
660,Dispatch,81.24
661,DrawIndexed,1779.44
662,DrawIndexed,3462.68
663,DrawIndexed,663.52
664,ClearDepthStencilView,8
665,DrawIndexed,15.4
666,CopySubresourceRegion,506.56
667,DrawIndexed,360.84
668,CopySubresourceRegion,504.32
669,DrawIndexed,338.96
670,DrawIndexed,81.32
671,DrawIndexed,13.48
672,DrawIndexed,25.52
673,DrawIndexed,18.12
674,DrawIndexed,9.36
675,DrawIndexed,8.8
676,DrawIndexed,8.28
677,DrawIndexed,7.12
678,DrawIndexed,8.08
679,DrawIndexed,7.12
680,DrawIndexed,8.36
681,DrawIndexed,7
682,DrawIndexed,7.52
683,DrawIndexed,456.4
